lon,lat,organization,,state,region,website,members
-76.518711,39.159877,Maryland Saltwater Sportsfishing Association,,MD,"Pasadena, MD",http://mssa.net/,Unknown or Non Applicable
-76.169827,38.558369,Dorchester Citizens for Planned Growth,,MD,"Cambridge, MD",http://dcpgonline.org/,0 - 499
-79.331153,38.642894,Friends of Beautiful Pendleton County,,WV,"Franklin, WV",0,0 - 499
-78.39194,37.302096,Friends of the Appomattox River,,VA,"Farmville, VA",http://far-va.org/,Unknown or Non Applicable
-75.255728,42.290637,"Sidney Center Improvement Group, Inc.",,NY,"Sidney Center, NY",http://scigny.blogspot.com/,0 - 499
-77.982219,39.151771,Shenandoah Riverkeeper,,VA,"Berryville, VA",http://www.waterkeeperschesapeake.com/about-us/resources/item/56-shenandoah-riverkeeper,Unknown or Non Applicable
-77.714715,39.136771,Loudoun Wildlife Conservancy ,,VA,"Purcellville, VA",http://www.loudoun.gov,1000 - 4999
-77.573404,37.521339,Capital Region Land Conservancy,,VA,"Richmond, VA",http://www.capitalregionland.org/,0 - 499
-75.655297,41.438241,Lackawanna River Corridor Association,,PA,"Scranton, PA",http://www.lrca.org,0 - 499
-76.807657,42.088008,Friends of the Chemung River Watershed,,NY,"Elmira, NY",http://www.chemungriverfriends.org,0 - 499
-77.222341,38.870269,Friends of Accotink Creek ,,VA,"Falls Church, VA",http://www.accotink.org,0 - 499
-75.671567,38.586259,Nanticoke Watershed Preservation Group,,DE,"Seaford, DE",http://www.nanticokewpg.com,0 - 499
-76.521815,39.257762,Dundalk Renaissance Corporation,,MD,"Dundalk, MD",http://www.dundalkusa.org,Unknown or Non Applicable
-77.484719,38.316668,Friends of the Rappahannock,,VA,"Fredericksburg, VA",http://www.riverfriends.org,1000 - 4999
-77.41512,37.516661,James River Association,,VA,"Richmond, VA",http://www.jrava.org,5000 - 9999
-77.278474,38.675862,Prince William Conservation Alliance,,VA,"Woodbridge, VA",http://www.pwconserve.org/,0 - 499
-76.618165,38.529052,American Chestnut Land Trust,,MD,"Prince Frederick, MD",http://acltweb.org,500 - 999
-76.189173,39.985065,Lancaster Farmland Trust ,,PA,"Strasburg, PA",http://www.lancasterfarmlandtrust.org/,Unknown or Non Applicable
-76.675922,39.549576,Sparks-Glencoe Community Planning Council ,,MD,"Sparks, MD",http://www.sgcpc.org/,0 - 499
-76.062397,39.038383,Corsica River Conservancy,,MD,"Centreville, MD",http://www.corsicariverconservancy.org/,0 - 499
-76.9476,38.894414,Groundwork Anacostia River DC,,DC,"Washington, DC",http://groundworkdc.org/,0 - 499
-76.505945,38.989722,Chesapeake BaySavers,,MD,"Annapolis, MD",http://www.chesapeakebaysavers.org,0 - 499
-77.453323,40.89979,Penns Valley Conservation Association,,PA,"Aaronsburg, PA",http://www.pennsvalley.net/,0 - 499
-76.421598,36.972239,Southeast CARE Coalition,,VA,"Newport News, VA",http://www.southeastcare.com/,0 - 499
-78.928359,39.658154,Savage River Watershed Association,,MD,"Frostburg, MD",http://www.savageriverwatershed.org,0 - 499
-77.330973,38.951822,Audubon Society of Northern Virginia,,VA,"Reston, VA",http://www.audubonva.org,1000 - 4999
-78.227195,39.62699,Warm Springs Watershed Association ,,WV,"Berkeley Springs, WV",http://warmspringswatershed.webs.com/,0 - 499
-79.568554,38.674506,Experience Learning,,WV,"Circleville, WV",http://mountain.org/where-we-work/appalachian/,0 - 499
-77.527546,37.537443,Coastal Canoeists,,VA,"Richmond, VA",http://www.coastals.org/,Unknown or Non Applicable
-76.419459,36.978211,All From One,,VA,"Newport News, VA",0,0 - 499
-77.045201,38.914301,Institute for Local Self-Reliance,,DC,"Washington, DC",http://www.islr.org,0 - 499
-75.205764,42.602903,Butternut Valley Alliance,,NY,"New Lisbon, NY",http://butternutvalleyalliance.org/,500 - 999
-78.005677,39.580436,Blue Heron Environmental Network,,WV,"Hedgesville, WV",0,0 - 499
-77.793159,38.71417,Piedmont Environmental Council,,VA,"Warrenton, VA",http://www.pecva.org,1000 - 4999
-76.997522,40.270175,Conodoguinet Creek Watershed Association,,PA,"Mechanicsburg, PA",http://www.cumberlandcd.com/~amcclain/ccwa/,0 - 499
-78.361467,39.539315,Cacapon Institute,,WV,"Great Cacapon, WV",http://www.cacaponinstitute.org,0 - 499
-76.611884,39.281256,Maryland Academy of Science at the Maryland Science Center,,MD,"Baltimore, MD",http://www.marylandsciencecenter.org,50000 +
-76.549762,38.926217,Alliance for Sustainable Communities,,MD,"Edgewater, MD",http://www.beinginplace.org,0 - 499 
-76.326625,39.727049,Peach Bottom Concerned Citizens Group,,PA,"Delta , PA",0,Unknown or Non Applicable
-77.197444,40.204127,Alliance for Aquatic Resource Monitoring (ALLARM),,PA,"Carlisle, PA",http://citizensci.com,0 - 499
-75.883893,39.36614,Sassafras River Association,,MD,"Georgetown, MD",http://www.sassafrasriver.org/,0 - 499
-78.158327,39.166019,Friends of Shenandoah River,,VA,"Winchester, VA",http://fosr.org/,Unknown or Non Applicable
-74.925263,42.700009,Otsego Land Trust,,NY,"Cooperstown, NY",http://otsegolandtrust.org/,1000 - 4999
-76.075692,38.771613,Eastern Shore Land Conservancy,,MD,"Easton, MD",http://www.eslc.org,1000 - 4999
-78.873365,37.889754,Rockfish Valley Foundation,,VA,"Nellysford, VA",http://www.rockfishvalley.org,Unknown or Non Applicable
-81.65908,38.14183,West Virginia Highlands Conservancy,,WV,"Charleston, WV",http://www.wvhighlands.org,1000 - 4999
-76.502503,39.281884,Clean Bread and Cheese Creek,,MD,"Dundalk, MD",http://breadandcheesecreek.org/,Unknown or Non Applicable
-78.505842,38.881778,Friends of the North Fork of the Shenandoah River,,VA,"Woodstock, VA",http://www.fnfsr.org,0 - 499
-76.49,38.979999,Severn River Association,,MD,"Annapolis, MD",http://www.severnriver.org/,0 - 499
-77.085225,38.628676,Mattawoman Watershed Society,,MD,"Bryans Road, MD",http://mattawomanwatershedsociety.org,1000 - 4999
-76.080489,38.778371,Talbot Preservation Alliance,,MD,"Easton, MD",http://www.talbotpreservation.org/,0 - 499
-78.270202,39.493803,Sleepy Creek Watershed Association,,WV,"Berkeley Springs, WV",http://www.sleepycreekwatershedassociation.org/,0 - 499
-77.419075,39.159867,Surfrider Foundation - DC Chapter,,DC,"Washington, DC",https://dc.surfrider.org/,0 - 499
-75.75527,41.556716,Countryside Conservancy,,PA,"LaPlume, PA",http://www.countrysideconservancy.org  ,Unknown or Non Applicable
-77.01,38.979999,Friends of Sligo Creek,,MD,"Takoma Park, MD",http://www.fosc.org/,500 - 999
-77.010663,38.872024,Earth Conservation Corps,,DC,"Washington, DC",http://www.earthconservationcorps.org/,0 - 499
-77.75082,41.326455,Western Clinton Sportsmen's Association,,PA,"Renovo, PA",http://www.wcsarenovo.org/,1000 - 4999
-77.09098,38.655109,Chapman Forest Foundation,,MD,"Bryans Road, MD",0,0 - 499
-75.88825,38.965967,Adkins Arboretum,,MD,"Ridgely, MD",http://www.adkinsarboretum.org/,1000 - 4999
-79.008361,38.202075,Friends of the Middle River,,VA,"Verona, VA",http://www.friendsofthemiddleriver.org/,0 - 499
-77.797021,39.245647,Blue Ridge Watershed Coalition,,WV,"Jefferson , WV",http://www.blueridgewatershed.org/,0-499
-78.868916,38.449569,Friends of Shenandoah Mountain,,VA,"Harrisonburg, VA",http://www.friendsofshenandoahmountain.org/,0-499
-77.085226,38.628676,Southern Maryland Audubon Society,,MD,"Bryans Road, MD",http://somdaudubon.org/,Unknown or Non Applicable
-122.321369,47.197124,Citizens to Conserve and Restore Indian Creek,,MD,"Greenbelt, MD",http://ccric.org/,0-499
-75.978835,39.785386,Elk Creeks Watershed Association,,PA,"Oxford, PA",0,0-499
-75.905567,38.272706,Friends of the Nanticoke River,,MD,"Nanticoke, MD",http://www.friendsofthenanticoke.org/index.htm,0-499
